Name,Q_P_C_Stare_rate,H_o_h_h_t_p,H_o_h_h_p_f_s,H_p_w_a,H_o_p_b_g_bed,H_o_p_b_bathing,H_o_p_breath,H_o_p_drugs_c,H_o_p_a_hosp,H_o_p_r_u_h_care_ER,C_s_i,H_o_p_r_action,P_r_e,A_l_Term,DTC_num,DTC_dem,DTC_Rate,DTC_Standard_Rate,DTC_Standard_Rate_limit_l,DTC_Standard_Rate_limit_u,PPR_num,PPR_dem,PPR_Rate,PPR_Standard_Rate,PPR_Standard_Rate_limit_l,PPR_Standard_Rate_limit_u,PPH_num,PPH_dem,PPH_Rate,PPH_Standard_Rate,PPH_Standard_Rate_limit_l,PPH_Standard_Rate_limit_u,medical_spends,Nr_of_episods
145,5.0,100.0,94.6,98.0,94.2,98.2,91.1,92.0,12.8,11.3,0.0,98.9,0.0,99.7,305.0,430.0,70.93,77.6,73.28,81.85,3.0,125.0,2.4,3.68,2.54,5.26,20.0,228.0,8.77,8.99,6.28,12.07,1.07,818.0
146,3.5,98.6,60.0,82.6,83.8,87.5,85.4,80.5,14.4,12.8,0.0,98.0,0.8,99.6,248.0,309.0,80.26,87.11,81.25,91.23,6.0,156.0,3.85,3.85,2.64,5.34,17.0,177.0,9.6,9.26,6.6,13.07,0.98,526.0
147,4.5,98.3,50.0,92.3,87.3,99.1,97.7,88.4,11.8,17.3,0.2,87.5,0.2,98.7,179.0,248.0,72.18,81.67,76.03,87.78,3.0,96.0,3.13,3.75,2.65,5.45,15.0,169.0,8.88,8.68,5.67,12.6,1.07,476.0
148,4.5,99.2,68.7,90.2,89.8,93.0,93.3,86.4,10.6,16.8,0.7,99.2,1.3,99.5,156.0,228.0,68.42,74.22,67.72,79.61,1.0,69.0,1.45,3.61,2.42,5.05,13.0,129.0,10.08,9.87,6.55,14.12,0.93,494.0
149,4.0,100.0,74.9,91.8,87.4,91.9,88.5,87.2,15.9,8.6,0.0,97.1,0.6,100.0,230.0,296.0,77.7,85.2,79.37,89.93,3.0,117.0,2.56,3.71,2.62,5.25,6.0,149.0,4.03,6.39,4.1,9.68,0.95,440.0
150,4.0,97.2,87.4,85.3,84.4,89.6,92.9,82.1,10.4,9.8,0.0,95.9,0.4,99.4,420.0,524.0,80.15,85.41,81.39,88.41,3.0,249.0,1.2,3.24,2.24,4.5,15.0,181.0,8.29,8.51,5.71,12.24,0.93,877.0
151,4.0,98.8,57.7,89.3,87.5,94.8,85.6,84.2,11.0,21.2,0.6,95.3,1.9,100.0,377.0,436.0,86.47,90.6,86.77,93.57,2.0,200.0,1.0,3.32,2.43,4.82,15.0,230.0,6.52,8.04,5.33,11.76,0.92,605.0
152,4.0,99.4,72.4,87.5,90.9,93.7,86.8,85.2,11.6,14.1,0.7,88.4,2.3,100.0,292.0,360.0,81.11,87.38,82.85,91.09,5.0,143.0,3.5,3.91,2.76,5.67,17.0,182.0,9.34,9.75,6.92,13.41,0.93,606.0
153,4.0,97.3,51.4,89.5,84.3,94.1,88.6,84.0,14.2,20.5,0.5,96.3,1.3,99.4,339.0,408.0,83.09,88.82,84.38,92.08,8.0,260.0,3.08,3.66,2.66,4.99,19.0,182.0,10.44,9.56,6.55,12.89,0.86,677.0
154,4.5,99.4,61.2,87.8,90.0,89.6,91.4,90.6,6.3,12.0,0.0,99.1,0.9,100.0,271.0,328.0,82.62,93.24,87.74,97.33,11.0,216.0,5.09,4.18,3.01,5.63,10.0,166.0,6.02,6.73,4.48,9.64,0.98,419.0
