Name,Q_P_C_Stare_rate,H_o_h_h_t_p,H_o_h_h_p_f_s,H_p_w_a,H_o_p_b_g_bed,H_o_p_b_bathing,H_o_p_breath,H_o_p_drugs_c,H_o_p_a_hosp,H_o_p_r_u_h_care_ER,C_s_i,H_o_p_r_action,P_r_e,A_l_Term,DTC_num,DTC_dem,DTC_Rate,DTC_Standard_Rate,DTC_Standard_Rate_limit_l,DTC_Standard_Rate_limit_u,PPR_num,PPR_dem,PPR_Rate,PPR_Standard_Rate,PPR_Standard_Rate_limit_l,PPR_Standard_Rate_limit_u,PPH_num,PPH_dem,PPH_Rate,PPH_Standard_Rate,PPH_Standard_Rate_limit_l,PPH_Standard_Rate_limit_u,medical_spends,Nr_of_episods
208,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,298.3913561847988,298.0244348024663,76.26546646795826,80.95355588673621,74.83311773472428,86.05237555886735,6.790304810870364,135.69096589429836,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,168.89333658774714,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.9691144010767161,514.8793221891459
209,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,298.3913561847988,298.0244348024663,76.26546646795826,80.95355588673621,74.83311773472428,86.05237555886735,6.790304810870364,135.69096589429836,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,168.89333658774714,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.9691144010767161,514.8793221891459
210,2.5,96.0,75.64782343987824,62.5,79.2,90.9,66.5,81.44385639121015,13.655686274509806,11.769379084967321,0.0,96.0,0.0,100.0,298.3913561847988,8.0,76.26546646795826,80.95355588673621,74.83311773472428,86.05237555886735,6.790304810870364,3.0,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,168.89333658774714,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.9691144010767161,6.0
211,3.5,95.6,81.8,85.1,86.7,88.8,92.3,83.7,13.0,10.5,0.0,99.8,0.4,99.8,715.0,861.0,83.04,85.27,82.95,87.53,20.0,554.0,3.61,4.1,3.09,5.6,24.0,379.0,6.33,8.09,5.59,10.77,0.86,1064.0
212,2.0,98.6,73.2,64.7,69.6,72.0,85.55988805970148,68.9,13.655686274509806,11.769379084967321,0.0,98.6,0.0,100.0,298.3913561847988,18.0,76.26546646795826,80.95355588673621,74.83311773472428,86.05237555886735,6.790304810870364,5.0,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,10.0,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.7,58.0
213,3.0,99.8,69.4,77.2,75.7,86.0,82.3,83.6,15.5,16.7,0.4,99.8,1.4,100.0,247.0,442.0,55.88,62.32,57.39,67.11,3.0,164.0,1.83,3.52,2.33,4.94,38.0,336.0,11.31,10.24,7.93,13.39,1.05,1153.0
214,4.5,99.7,77.0,95.6,91.8,94.4,88.6,94.3,16.3,12.6,0.0,99.2,1.3,98.6,557.0,795.0,70.06,81.37,77.23,84.76,16.0,356.0,4.49,4.08,3.04,5.54,69.0,570.0,12.11,9.5,7.75,11.6,1.14,1128.0
215,3.0,99.1,82.5,71.7,73.5,85.4,92.6,76.2,13.655686274509806,11.769379084967321,0.6,98.9,0.9,100.0,14.0,25.0,56.0,63.3,44.65,79.59,6.790304810870364,5.0,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,11.0,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.72,68.0
216,2.0,91.5,54.5,64.3,69.3,71.4,70.0,63.6,14.2,7.0,0.9,94.7,0.4,99.0,101.0,135.0,74.81,75.89,68.17,82.02,2.0,47.0,4.26,3.98,2.64,5.61,10.0,77.0,12.99,12.76,8.23,19.58,1.07,267.0
217,1.5,93.4,53.8,63.8,70.2,66.4,65.7,51.7,15.7,18.4,0.0,86.8,2.6,100.0,33.0,42.0,78.57,79.8,67.18,89.88,6.790304810870364,13.0,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,5.0,44.0,11.36,11.26,6.19,18.26,0.87,81.0
218,4.5,97.9,74.2,86.2,100.0,95.1,99.8,92.3,10.6,12.1,0.0,97.3,0.2,99.8,205.0,241.0,85.06,87.33,82.76,90.99,2.0,130.0,1.54,3.66,2.42,5.56,4.0,107.0,3.74,7.6,4.31,12.24,0.85,301.0
219,4.5,98.5,82.0,94.2,91.9,95.3,88.7,89.6,16.1,11.4,0.0,97.3,1.7,100.0,491.0,607.0,80.89,90.05,86.19,93.16,10.0,327.0,3.06,3.73,2.65,5.19,33.0,290.0,11.38,9.96,7.55,13.16,1.0,919.0
220,2.5,86.8,73.5,78.5,77.0,83.5,78.7,77.2,13.1,11.9,0.3,96.5,1.2,99.7,584.0,759.0,76.94,80.79,77.93,83.71,18.0,494.0,3.64,4.2,3.14,5.52,35.0,355.0,9.86,10.54,8.04,14.25,1.01,1041.0
221,3.0,99.7,54.0,78.6,78.6,84.9,80.7,81.4,15.7,17.6,0.0,99.4,1.8,100.0,174.0,270.0,64.44,70.44,63.95,75.74,1.0,146.0,0.68,3.34,2.37,4.66,25.0,154.0,16.23,13.14,9.75,17.41,1.03,571.0
222,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,25.0,27.0,92.59,87.59,75.6,94.11,6.790304810870364,135.69096589429836,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,2.0,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,1.06,91.0
223,3.5,99.6,62.9,82.7,84.5,85.3,83.2,75.0,12.6,11.2,0.4,99.6,0.5,100.0,1094.0,1170.0,93.5,88.8,87.26,89.9,13.0,478.0,2.72,4.12,3.07,5.56,10.0,593.0,1.69,4.55,3.15,6.82,0.81,1222.0
224,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,298.3913561847988,298.0244348024663,76.26546646795826,80.95355588673621,74.83311773472428,86.05237555886735,6.790304810870364,135.69096589429836,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,168.89333658774714,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.9691144010767161,514.8793221891459
225,4.5,100.0,77.4,79.9,100.0,91.4,95.6,69.9,9.9,18.1,0.0,99.0,1.5,100.0,105.0,122.0,86.07,85.97,78.62,90.88,4.0,97.0,4.12,4.07,2.82,5.94,4.0,44.0,9.09,10.11,6.02,17.55,0.92,160.0
226,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,298.3913561847988,15.0,76.26546646795826,80.95355588673621,74.83311773472428,86.05237555886735,6.790304810870364,5.0,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,6.0,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.98,22.0
227,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,298.3913561847988,3.0,76.26546646795826,80.95355588673621,74.83311773472428,86.05237555886735,6.790304810870364,135.69096589429836,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,168.89333658774714,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.9691144010767161,7.0
228,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,298.3913561847988,298.0244348024663,76.26546646795826,80.95355588673621,74.83311773472428,86.05237555886735,6.790304810870364,135.69096589429836,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,168.89333658774714,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.9691144010767161,514.8793221891459
229,1.5,96.6,32.4,56.6,63.2,62.6,85.55988805970148,54.4,13.655686274509806,11.769379084967321,0.0,98.3,0.0,100.0,298.3913561847988,1.0,76.26546646795826,80.95355588673621,74.83311773472428,86.05237555886735,6.790304810870364,135.69096589429836,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,168.89333658774714,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.9691144010767161,10.0
230,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,298.3913561847988,298.0244348024663,76.26546646795826,80.95355588673621,74.83311773472428,86.05237555886735,6.790304810870364,135.69096589429836,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,168.89333658774714,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.9691144010767161,514.8793221891459
231,4.5,95.7,78.5,87.1,95.7,94.9,92.7,100.0,14.4,10.9,0.0,98.2,1.4,99.6,235.0,292.0,80.48,84.59,79.58,88.79,7.0,164.0,4.27,4.06,2.83,5.74,18.0,170.0,10.59,10.73,7.57,15.21,1.13,447.0
232,3.0,96.7,43.2,83.2,82.1,75.1,76.9,71.6,10.5,6.3,0.0,86.7,0.0,100.0,43.0,79.0,54.43,56.24,45.72,66.24,6.790304810870364,6.0,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,3.0,44.0,6.82,9.67,5.92,16.33,1.05,186.0
233,3.5,91.7,74.8,87.3,85.2,89.3,89.1,85.8,13.1,14.9,0.0,91.2,1.0,98.5,92.0,122.0,75.41,80.65,72.35,87.65,0.0,55.0,0.0,3.67,2.48,5.53,7.0,75.0,9.33,9.64,6.07,15.16,1.23,235.0
234,2.5,91.7,74.6,77.9,68.8,80.6,85.6,82.1,18.3,15.5,0.0,90.6,3.2,97.9,84.0,122.0,68.85,74.24,65.32,81.89,1.0,78.0,1.28,3.64,2.5,5.12,15.0,71.0,21.13,14.79,9.85,21.8,0.91,489.0
235,2.0,99.2,79.3,61.8,72.3,64.1,51.6,53.2,13.9,10.4,1.2,95.5,1.1,99.6,170.0,240.0,70.83,76.82,70.67,82.5,3.0,63.0,4.76,3.92,2.6,5.74,27.0,158.0,17.09,15.58,11.26,21.1,1.0,484.0
236,4.5,99.7,86.0,82.8,92.2,91.1,90.7,92.4,13.6,9.9,0.0,99.7,1.4,100.0,181.0,230.0,78.7,86.64,80.4,91.65,3.0,91.0,3.3,3.83,2.56,5.38,16.0,134.0,11.94,10.69,7.0,15.57,1.08,407.0
237,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,298.3913561847988,298.0244348024663,76.26546646795826,80.95355588673621,74.83311773472428,86.05237555886735,6.790304810870364,135.69096589429836,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,168.89333658774714,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.9691144010767161,514.8793221891459
238,4.0,98.9,89.2,89.0,85.6,88.6,90.6,89.1,14.1,11.6,0.6,98.4,0.5,100.0,97.0,128.0,75.78,82.2,73.0,88.76,0.0,32.0,0.0,3.76,2.56,5.7,14.0,140.0,10.0,9.79,6.74,14.36,0.99,224.0
239,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,298.3913561847988,5.0,76.26546646795826,80.95355588673621,74.83311773472428,86.05237555886735,6.790304810870364,2.0,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,168.89333658774714,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.9691144010767161,5.0
240,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,298.3913561847988,298.0244348024663,76.26546646795826,80.95355588673621,74.83311773472428,86.05237555886735,6.790304810870364,135.69096589429836,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,168.89333658774714,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.9691144010767161,514.8793221891459
241,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,298.3913561847988,1.0,76.26546646795826,80.95355588673621,74.83311773472428,86.05237555886735,6.790304810870364,135.69096589429836,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,1.0,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.9691144010767161,1.0
242,4.5,98.3,99.0,83.9,100.0,95.5,86.2,97.9,11.9,9.2,0.0,94.9,0.9,98.3,152.0,193.0,78.76,81.51,75.66,86.42,2.0,72.0,2.78,3.85,2.68,5.6,7.0,110.0,6.36,8.49,5.6,13.2,0.95,455.0
243,3.0,93.7,47.4,83.8,72.3,86.7,86.6,82.6,10.9,7.7,0.7,94.3,1.1,100.0,103.0,159.0,64.78,67.17,59.87,73.82,2.0,35.0,5.71,3.98,2.81,6.22,10.0,105.0,9.52,11.32,7.57,17.3,0.98,323.0
244,3.6109225547670474,87.1,100.0,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,100.0,0.0,100.0,15.0,31.0,48.39,57.24,39.69,71.91,6.790304810870364,7.0,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,16.0,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.94,316.0
245,3.5,92.8,91.8,94.4,73.2,93.8,96.8,58.9,12.3,8.3,0.0,99.4,0.0,100.0,500.0,532.0,93.98,90.02,87.34,91.66,6.790304810870364,17.0,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,6.0,284.0,2.11,6.06,3.71,9.58,0.84,1012.0
246,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,298.3913561847988,298.0244348024663,76.26546646795826,80.95355588673621,74.83311773472428,86.05237555886735,6.790304810870364,135.69096589429836,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,168.89333658774714,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.9691144010767161,514.8793221891459
247,3.5,100.0,94.2,83.4,84.9,85.0,64.0,65.6,10.4,7.2,0.0,100.0,0.0,100.0,73.0,81.0,90.12,85.81,77.22,90.71,6.790304810870364,9.0,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,0.0,51.0,0.0,7.46,3.94,12.7,0.88,235.0
248,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,298.3913561847988,4.0,76.26546646795826,80.95355588673621,74.83311773472428,86.05237555886735,6.790304810870364,135.69096589429836,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,1.0,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.9691144010767161,514.8793221891459
249,4.0,100.0,80.1,100.0,100.0,77.7,61.2,65.7,8.0,0.8,0.0,100.0,0.0,100.0,254.0,262.0,96.95,90.33,87.69,91.86,6.790304810870364,9.0,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,1.0,146.0,0.68,6.39,3.57,10.43,0.91,528.0
250,4.5,100.0,99.1,86.6,88.2,100.0,94.0,100.0,8.8,4.8,0.0,100.0,0.0,100.0,197.0,210.0,93.81,89.29,85.71,91.76,6.790304810870364,6.0,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,5.0,115.0,4.35,8.56,5.31,13.39,0.86,537.0
251,3.5,100.0,71.9,77.5,53.4,80.0,94.5,54.0,7.2,4.6,0.0,99.4,0.0,100.0,197.0,206.0,95.63,90.08,86.84,92.27,6.790304810870364,5.0,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,3.0,127.0,2.36,7.8,4.78,12.95,0.82,460.0
252,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,10.2,8.4,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,153.0,174.0,87.93,84.45,79.46,88.68,6.790304810870364,7.0,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,2.0,80.0,2.5,8.38,4.65,14.7,0.88,400.0
253,3.5,100.0,92.0,77.6,74.6,86.1,100.0,77.8,13.3,10.6,0.0,93.0,0.0,100.0,555.0,620.0,89.52,92.34,89.53,94.52,6.0,235.0,2.55,3.64,2.57,5.08,22.0,323.0,6.81,8.42,5.75,11.36,0.86,911.0
254,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,298.3913561847988,19.0,76.26546646795826,80.95355588673621,74.83311773472428,86.05237555886735,6.790304810870364,135.69096589429836,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,19.0,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.9691144010767161,514.8793221891459
255,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,298.3913561847988,1.0,76.26546646795826,80.95355588673621,74.83311773472428,86.05237555886735,6.790304810870364,135.69096589429836,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,1.0,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.9691144010767161,514.8793221891459
256,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,298.3913561847988,2.0,76.26546646795826,80.95355588673621,74.83311773472428,86.05237555886735,6.790304810870364,135.69096589429836,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,1.0,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.9691144010767161,3.0
257,5.0,96.7,80.6,100.0,100.0,100.0,94.4,93.6,8.0,5.0,0.0,99.2,0.0,100.0,126.0,149.0,84.56,82.21,75.74,86.73,6.790304810870364,5.0,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,2.0,84.0,2.38,7.6,4.43,12.89,1.04,303.0
258,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,298.3913561847988,1.0,76.26546646795826,80.95355588673621,74.83311773472428,86.05237555886735,6.790304810870364,135.69096589429836,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,168.89333658774714,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.9691144010767161,1.0
259,3.0,94.2,85.9,76.5,83.4,75.8,94.6,65.4,9.9,17.6,0.0,95.0,0.0,100.0,124.0,216.0,57.41,60.84,53.23,66.34,5.0,80.0,6.25,4.21,2.94,5.99,2.0,55.0,3.64,7.57,4.58,12.6,0.97,335.0
260,3.0,85.2,30.5,79.4,81.7,88.1,73.9,92.2,15.0,4.5,0.0,100.0,0.8,100.0,90.0,116.0,77.59,76.91,69.62,83.41,1.0,20.0,5.0,3.97,2.66,5.86,9.0,90.0,10.0,12.25,7.75,18.67,0.95,179.0
261,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,47.0,56.0,83.93,81.29,70.97,88.14,6.790304810870364,1.0,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,168.89333658774714,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.81,95.0
262,3.0,90.9,85.9,77.8,79.0,82.6,81.5,73.3,12.2,6.5,0.0,96.7,0.0,100.0,207.0,268.0,77.24,79.27,74.25,83.66,5.0,110.0,4.55,4.15,2.97,6.08,11.0,150.0,7.33,9.52,6.02,14.3,1.11,386.0
263,3.5,89.2,71.1,87.3,85.9,89.4,69.5,87.9,9.3,3.6,0.0,95.1,0.0,100.0,309.0,329.0,93.92,90.38,87.48,92.52,0.0,20.0,0.0,3.74,2.6,5.43,8.0,162.0,4.94,9.14,5.61,14.49,0.87,759.0
264,3.0,94.6,94.2,81.5,78.1,87.6,86.4,85.9,16.2,16.8,0.9,95.7,0.0,100.0,258.0,384.0,67.19,75.46,70.05,80.43,15.0,209.0,7.18,4.5,3.29,6.31,32.0,205.0,15.61,12.78,9.6,16.49,0.96,606.0
265,3.0,100.0,86.7,77.1,77.6,79.0,76.4,73.0,12.6,14.7,0.7,100.0,0.5,97.0,419.0,525.0,79.81,82.21,78.34,85.54,2.0,162.0,1.23,3.49,2.44,5.09,20.0,277.0,7.22,9.48,6.66,13.42,0.9,1001.0
266,4.0,99.1,93.7,99.7,80.8,90.3,87.5,89.0,15.2,4.9,0.0,96.4,0.0,100.0,66.0,80.0,82.5,81.79,72.89,88.18,6.790304810870364,4.0,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,4.0,60.0,6.67,10.09,5.62,17.28,0.95,340.0
267,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,298.3913561847988,298.0244348024663,76.26546646795826,80.95355588673621,74.83311773472428,86.05237555886735,6.790304810870364,135.69096589429836,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,168.89333658774714,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.9691144010767161,514.8793221891459
268,3.5,100.0,71.4,62.2,76.4,74.4,99.8,83.9,13.655686274509806,11.769379084967321,0.0,96.9,0.0,100.0,33.0,57.0,57.89,60.24,47.23,70.34,6.790304810870364,13.0,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,3.0,35.0,8.57,10.64,5.66,17.82,0.94,78.0
269,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,11.0,21.0,52.38,58.31,39.26,75.0,6.790304810870364,2.0,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,12.0,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,1.05,245.0
270,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,298.3913561847988,1.0,76.26546646795826,80.95355588673621,74.83311773472428,86.05237555886735,6.790304810870364,135.69096589429836,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,168.89333658774714,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.9691144010767161,1.0
271,5.0,95.3,66.2,100.0,100.0,100.0,100.0,100.0,10.3,8.2,0.0,98.6,0.0,100.0,197.0,253.0,77.87,74.8,70.03,79.41,6.790304810870364,9.0,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,3.0,134.0,2.24,7.22,4.11,12.37,0.78,640.0
272,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,298.3913561847988,3.0,76.26546646795826,80.95355588673621,74.83311773472428,86.05237555886735,6.790304810870364,4.0,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,168.89333658774714,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,1.06,23.0
273,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,298.3913561847988,4.0,76.26546646795826,80.95355588673621,74.83311773472428,86.05237555886735,6.790304810870364,135.69096589429836,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,168.89333658774714,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.9691144010767161,3.0
274,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,19.0,23.0,82.61,81.52,66.5,91.48,6.790304810870364,2.0,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,8.0,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.97,108.0
275,3.6109225547670474,97.25046117227015,75.64782343987824,84.10910769230769,85.19247378161629,86.98434327899109,85.55988805970148,81.44385639121015,13.655686274509806,11.769379084967321,0.2338244321669736,97.02511157393631,0.8761833879130694,99.5673906575424,52.0,82.0,63.41,63.65,54.14,72.22,6.790304810870364,5.0,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,21.46951219512195,7.0,9.54015083440308,9.901716944801027,6.8668324775353025,14.168738767650835,0.78,174.0
276,4.5,98.5,94.5,97.8,75.6,100.0,100.0,100.0,7.3,2.8,0.0,98.5,0.0,100.0,86.0,90.0,95.56,93.68,87.42,96.99,6.790304810870364,2.0,3.534425266250459,3.8589019463826664,2.722526625045905,5.426654425266251,1.0,56.0,1.79,7.69,4.18,13.37,0.87,220.0
